File_name,Label,#,Label,#
assemblies_300dpi\challenge1\cuts\MP_00001,A014,16
assemblies_300dpi\challenge1\cuts\MP_00002,A001,4
assemblies_300dpi\challenge1\cuts\MP_00003,A014,4
assemblies_300dpi\challenge1\cuts\MP_00004,A010,1
assemblies_300dpi\challenge1\cuts\MP_00005,A014,1,A001,1
assemblies_300dpi\challenge1\cuts\MP_00006,A006,2
assemblies_300dpi\challenge1\cuts\MP_00007,A006,2
assemblies_300dpi\challenge1\cuts\MP_00008,A008,2,A006,2
assemblies_300dpi\challenge1\cuts\MP_00009,A008,4
assemblies_300dpi\challenge1\cuts\MP_00010
assemblies_300dpi\challenge1\cuts\MP_00011,A004,4
assemblies_300dpi\challenge1\cuts\MP_00012,A011,4
assemblies_300dpi\challenge1\cuts\MP_00013
assemblies_300dpi\challenge1\cuts\MP_00014,A006,2
assemblies_300dpi\challenge1\cuts\MP_00015,A008,4
assemblies_300dpi\challenge1\cuts\MP_00017,A001,2
assemblies_300dpi\challenge1\cuts\MP_00018,A013,2
assemblies_300dpi\challenge1\cuts\MP_00019
assemblies_300dpi\challenge1\cuts\MP_00020
assemblies_300dpi\challenge1\cuts\MP_00021,A014,3
assemblies_300dpi\challenge1\cuts\MP_00022,A014,6
assemblies_300dpi\challenge1\cuts\MP_00023,A013,4
assemblies_300dpi\challenge1\cuts\MP_00024
assemblies_300dpi\challenge1\cuts\MP_00025,A014,2
assemblies_300dpi\challenge1\cuts\MP_00026,A009,4
assemblies_300dpi\challenge1\cuts\MP_00027
assemblies_300dpi\challenge1\cuts\MP_00029
assemblies_300dpi\challenge1\cuts\MP_00030
assemblies_300dpi\challenge1\cuts\MP_00031,A011,4
assemblies_300dpi\challenge1\cuts\MP_00033,A013,27
assemblies_300dpi\challenge1\cuts\MP_00034,A008,4
assemblies_300dpi\challenge1\cuts\MP_00035
assemblies_300dpi\challenge1\cuts\MP_00036,A008,4
assemblies_300dpi\challenge1\cuts\MP_00037
assemblies_300dpi\challenge1\cuts\MP_00038,A003,2
assemblies_300dpi\challenge1\cuts\MP_00039
assemblies_300dpi\challenge1\cuts\MP_00040,A006,4
assemblies_300dpi\challenge1\cuts\MP_00041
assemblies_300dpi\challenge1\cuts\MP_00042,A003,2
assemblies_300dpi\challenge1\cuts\MP_00043,A003,14
assemblies_300dpi\challenge1\cuts\MP_00044
assemblies_300dpi\challenge1\cuts\MP_00045
assemblies_300dpi\challenge1\cuts\MP_00046,A002,10
assemblies_300dpi\challenge1\cuts\MP_00047
assemblies_300dpi\challenge1\cuts\MP_00048,A011,4
assemblies_300dpi\challenge1\cuts\MP_00049,A003,2
assemblies_300dpi\challenge1\cuts\MP_00050,A002,2
assemblies_300dpi\challenge1\cuts\MP_00051
assemblies_300dpi\challenge1\cuts\MP_00052,A001,11
assemblies_300dpi\challenge1\cuts\MP_00053
assemblies_300dpi\challenge1\cuts\MP_00054,A002,20
