File_name,Label,#,Label,#
assemblies_300dpi\challenge2\cuts\MA_00001
assemblies_300dpi\challenge2\cuts\MA_00002,A011,4
assemblies_300dpi\challenge2\cuts\MA_00003,A011,2
assemblies_300dpi\challenge2\cuts\MA_00004,A001,42
assemblies_300dpi\challenge2\cuts\MA_00005,A001,2
assemblies_300dpi\challenge2\cuts\MA_00006,A001,4
assemblies_300dpi\challenge2\cuts\MA_00007,A001,22
assemblies_300dpi\challenge2\cuts\MA_00008,A002,6
assemblies_300dpi\challenge2\cuts\MA_00009,A001,2
assemblies_300dpi\challenge2\cuts\MA_00010
assemblies_300dpi\challenge2\cuts\MA_00011,A014,4
assemblies_300dpi\challenge2\cuts\MA_00012
assemblies_300dpi\challenge2\cuts\MA_00013,A014,1
assemblies_300dpi\challenge2\cuts\MA_00014,A002,11
assemblies_300dpi\challenge2\cuts\MA_00015,A002,1
assemblies_300dpi\challenge2\cuts\MA_00016,A003,1
assemblies_300dpi\challenge2\cuts\MA_00017,A001,1
assemblies_300dpi\challenge2\cuts\MA_00019,A001,2
assemblies_300dpi\challenge2\cuts\MA_00022
assemblies_300dpi\challenge2\cuts\MA_00023
assemblies_300dpi\challenge2\cuts\MA_00026,A008,3
assemblies_300dpi\challenge2\cuts\MA_00027,A003,2
assemblies_300dpi\challenge2\cuts\MA_00028,A001,2
assemblies_300dpi\challenge2\cuts\MA_00030,A013,18
assemblies_300dpi\challenge2\cuts\MA_00031,A013,4
assemblies_300dpi\challenge2\cuts\MA_00032,A002,2
assemblies_300dpi\challenge2\cuts\MA_00033,A001,5
assemblies_300dpi\challenge2\cuts\MA_00034,A013,1
assemblies_300dpi\challenge2\cuts\MA_00035,A003,4
assemblies_300dpi\challenge2\cuts\MA_00036,A003,14
assemblies_300dpi\challenge2\cuts\MA_00037,A007,2
assemblies_300dpi\challenge2\cuts\MA_00038,A003,4
assemblies_300dpi\challenge2\cuts\MA_00039,A003,4
assemblies_300dpi\challenge2\cuts\MA_00040,A001,6
assemblies_300dpi\challenge2\cuts\MA_00041,A014,12
assemblies_300dpi\challenge2\cuts\MA_00042,A010,12
assemblies_300dpi\challenge2\cuts\MA_00043,A010,4
assemblies_300dpi\challenge2\cuts\MA_00044,A008,2
assemblies_300dpi\challenge2\cuts\MA_00046,A009,3
assemblies_300dpi\challenge2\cuts\MA_00047,A002,2
assemblies_300dpi\challenge2\cuts\MA_00048,A014,4
assemblies_300dpi\challenge2\cuts\MA_00049,A001,11
assemblies_300dpi\challenge2\cuts\MA_00050,A014,4
assemblies_300dpi\challenge2\cuts\MA_00051,A010,3
assemblies_300dpi\challenge2\cuts\MA_00052,A001,4
assemblies_300dpi\challenge2\cuts\MA_00053,A009,3
assemblies_300dpi\challenge2\cuts\MA_00055,A008,4
assemblies_300dpi\challenge2\cuts\MA_00056,A001,4
assemblies_300dpi\challenge2\cuts\MA_00058
assemblies_300dpi\challenge2\cuts\MA_00059,A002,2
assemblies_300dpi\challenge2\cuts\MA_00061,A007,2
assemblies_300dpi\challenge2\cuts\MA_00062,A007,2
assemblies_300dpi\challenge2\cuts\MA_00063,A013,4
assemblies_300dpi\challenge2\cuts\MA_00065,A007,2
assemblies_300dpi\challenge2\cuts\MA_00066,A008,2
assemblies_300dpi\challenge2\cuts\MA_00068,A007,4
